"","gbm","svm","logistic","rf","xgboost"
"tm_train",403.53,50.99,38.47,1469.35,632.72
"tm_test",0.0499999999997272,4.40000000000009,0.300000000000182,0.5,0.139999999999873
"error",0.326666666666667,0.591666666666667,0.326666666666667,0.286666666666667,0.235
