"","gbm","svm","logistic","rf","xgboost"
"tm_train",20.14,1.78700000000001,0.331999999999994,62.851,50.369
"tm_test",0.00499999999999545,0.159999999999968,0.00600000000002865,0.406999999999982,0.197999999999979
"error",0.325,0.255,0.325,0.231666666666667,0.256666666666667
