"","gbm","svm","logistic","rf","xgboost"
"tm_train",18.236,2.20099999999999,0.481999999999999,77.807,36.404
"tm_test",0.00600000000000023,0.176999999999992,0.007000000000005,0.305999999999983,0.100999999999999
"error",0.395,0.33,0.395,0.421666666666667,0.355
